MODEL YEAR,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE (L),CYLINDERS,TRANSMISSION,FUEL TYPE,FUEL CONSUMPTION CITY (L/100),FUEL CONSUMPTION HWY (L/100),COMB (L/100 km),COMB (mpg),CO2 EMISSIONS (g/km),CO2 Rating,Smog Rating
2017.0,ACURA,ILX,COMPACT,2.4,4.0,AM8,Z,9.4,6.8,8.2,34.0,192.0,7.0,6.0
2017.0,ACURA,MDX SH-AWD,SUV - SMALL,3.5,6.0,AS9,Z,12.6,9.0,11.0,26.0,259.0,4.0,6.0
2017.0,ACURA,MDX SH-AWD ELITE,SUV - SMALL,3.5,6.0,AS9,Z,12.2,9.0,10.7,26.0,251.0,5.0,6.0
2017.0,ACURA,MDX HYBRID AWD,SUV - SMALL,3.0,6.0,AM7,Z,9.1,9.0,9.0,31.0,210.0,6.0,6.0
2017.0,ACURA,NSX,TWO-SEATER,3.5,6.0,AM9,Z,11.1,10.8,11.0,26.0,261.0,4.0,6.0
2017.0,ACURA,RDX AWD,SUV - SMALL,3.5,6.0,AS6,Z,12.4,8.7,10.7,26.0,250.0,5.0,6.0
2017.0,ACURA,RLX HYBRID,MID-SIZE,3.5,6.0,AM7,Z,8.2,7.8,8.1,35.0,190.0,7.0,8.0
2017.0,ACURA,TLX,COMPACT,2.4,4.0,AM8,Z,9.6,6.6,8.3,34.0,197.0,6.0,6.0
2017.0,ACURA,TLX SH-AWD,COMPACT,3.5,6.0,AS9,Z,11.2,7.5,9.6,29.0,226.0,5.0,6.0
2017.0,ALFA ROMEO,4C,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197.0,6.0,5.0
2017.0,ALFA ROMEO,4C SPIDER,TWO-SEATER,1.8,4.0,AM6,Z,9.7,6.9,8.4,34.0,197.0,6.0,5.0
2017.0,ALFA ROMEO,GIULIA,MID-SIZE,2.0,4.0,A8,Z,10.0,7.2,8.7,32.0,205.0,6.0,6.0
2017.0,ALFA ROMEO,GIULIA AWD,MID-SIZE,2.0,4.0,A8,Z,10.5,7.7,9.2,31.0,217.0,6.0,6.0
2017.0,ALFA ROMEO,GIULIA QUADRIFOGLIO,MID-SIZE,2.9,6.0,A8,Z,13.8,9.6,11.9,24.0,280.0,4.0,6.0
2017.0,ASTON MARTIN,DB11 V12,MINICOMPACT,5.2,12.0,A8,Z,15.5,11.4,13.7,21.0,322.0,3.0,6.0
2017.0,ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12.0,A8,Z,16.7,10.9,14.1,20.0,331.0,3.0,6.0
2017.0,ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12.0,A8,Z,17.5,11.4,14.7,19.0,345.0,2.0,6.0
2017.0,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,AM7,Z,19.4,12.8,16.4,17.0,388.0,1.0,6.0
2017.0,ASTON MARTIN,V12 VANTAGE S,TWO-SEATER,6.0,12.0,M7,Z,23.2,14.4,19.2,15.0,450.0,1.0,6.0
2017.0,AUDI,A3,SUBCOMPACT,2.0,4.0,AM7,X,9.1,6.8,8.0,35.0,188.0,7.0,8.0
2017.0,AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,9.7,7.5,8.7,32.0,205.0,6.0,8.0
2017.0,AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.8,8.0,9.5,30.0,223.0,5.0,8.0
2017.0,AUDI,A4 ULTRA,COMPACT,2.0,4.0,AM7,Z,8.6,6.4,7.6,37.0,177.0,7.0,6.0
2017.0,AUDI,A4 QUATTRO,COMPACT,2.0,4.0,AM7,Z,9.8,7.7,8.8,32.0,205.0,6.0,6.0
2017.0,AUDI,A4 QUATTRO,COMPACT,2.0,4.0,M6,Z,9.9,7.0,8.6,33.0,204.0,6.0,6.0
2017.0,AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4.0,AM7,Z,10.2,8.3,9.3,30.0,217.0,6.0,6.0
2017.0,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.0,8.0,9.7,29.0,226.0,5.0,6.0
2017.0,AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4.0,M6,Z,10.4,7.3,9.0,31.0,210.0,6.0,6.0
2017.0,AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4.0,AS8,Z,11.3,8.2,9.9,29.0,231.0,5.0,6.0
2017.0,AUDI,A6 QUATTRO,MID-SIZE,2.0,4.0,AS8,Z,10.9,7.5,9.4,30.0,220.0,5.0,7.0
2017.0,AUDI,A6 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,11.5,8.2,10.0,28.0,238.0,5.0,6.0
2017.0,AUDI,A7 QUATTRO,MID-SIZE,3.0,6.0,AS8,Z,11.5,8.2,10.0,28.0,238.0,5.0,6.0
2017.0,AUDI,A8,MID-SIZE,3.0,6.0,AS8,Z,12.6,8.0,10.5,27.0,246.0,5.0,6.0
2017.0,AUDI,A8,MID-SIZE,4.0,8.0,AS8,Z,12.9,8.0,10.7,26.0,249.0,5.0,6.0
2017.0,AUDI,A8L,FULL-SIZE,4.0,8.0,AS8,Z,13.1,8.3,10.9,26.0,255.0,5.0,6.0
2017.0,AUDI,Q3,COMPACT,2.0,4.0,AS6,Z,11.9,8.4,10.3,27.0,243.0,5.0,6.0
2017.0,AUDI,Q3 QUATTRO,COMPACT,2.0,4.0,AS6,Z,11.9,8.4,10.3,27.0,241.0,5.0,6.0
2017.0,AUDI,Q5,SUV - SMALL,2.0,4.0,AS8,Z,12.0,8.6,10.5,27.0,246.0,5.0,6.0
2017.0,AUDI,Q5,SUV - SMALL,3.0,6.0,AS8,Z,13.2,9.2,11.4,25.0,267.0,4.0,6.0
2017.0,AUDI,Q7,SUV - STANDARD,2.0,4.0,AS8,Z,11.9,9.6,10.8,26.0,253.0,5.0,6.0
2017.0,AUDI,Q7,SUV - STANDARD,3.0,6.0,AS8,Z,12.6,9.4,11.1,25.0,260.0,4.0,5.0
2017.0,AUDI,R8,TWO-SEATER,5.2,10.0,AM7,Z,16.5,11.2,14.1,20.0,330.0,3.0,5.0
2017.0,AUDI,R8 SPYDER,TWO-SEATER,5.2,10.0,AM7,Z,16.5,11.2,14.1,20.0,330.0,3.0,5.0
2017.0,AUDI,RS 7,MID-SIZE,4.0,8.0,AS8,Z,16.2,9.3,13.1,22.0,309.0,3.0,6.0
2017.0,AUDI,S3,SUBCOMPACT,2.0,4.0,AM6,Z,11.0,8.5,9.9,29.0,232.0,5.0,6.0
2017.0,AUDI,S5,SUBCOMPACT,3.0,6.0,AM7,Z,13.0,8.5,11.0,26.0,259.0,4.0,6.0
2017.0,AUDI,S5,SUBCOMPACT,3.0,6.0,M6,Z,13.8,9.0,11.7,24.0,273.0,4.0,6.0
2017.0,AUDI,S5 CABRIOLET,SUBCOMPACT,3.0,6.0,AM7,Z,13.3,9.1,11.4,25.0,266.0,4.0,6.0
2017.0,AUDI,S6,MID-SIZE,4.0,8.0,AM7,Z,13.3,8.8,11.3,25.0,263.0,4.0,6.0
2017.0,AUDI,S7,MID-SIZE,4.0,8.0,AM7,Z,13.4,8.8,11.4,25.0,265.0,4.0,6.0
2017.0,AUDI,S8,MID-SIZE,4.0,8.0,AS8,Z,16.2,9.9,13.4,21.0,312.0,3.0,6.0
2017.0,AUDI,SQ5,SUV - SMALL,3.0,6.0,AS8,Z,14.1,9.9,12.2,23.0,285.0,4.0,6.0
2017.0,AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,X,10.1,7.8,9.1,31.0,209.0,6.0,8.0
2017.0,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4.0,AM6,X,10.1,7.8,9.1,31.0,209.0,6.0,8.0
2017.0,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4.0,AM6,Z,10.3,8.6,9.5,30.0,222.0,5.0,6.0
2017.0,BENTLEY,BENTAYGA,SUV - STANDARD,6.0,12.0,AS8,Z,18.8,12.2,15.9,18.0,370.0,2.0,6.0
2017.0,BENTLEY,CONTINENTAL GT,COMPACT,4.0,8.0,AS8,Z,16.1,9.4,13.1,22.0,307.0,3.0,6.0
2017.0,BENTLEY,CONTINENTAL GT,COMPACT,6.0,12.0,AS8,Z,18.9,11.2,15.4,18.0,360.0,2.0,5.0
2017.0,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8.0,AS8,Z,17.7,10.3,14.4,20.0,337.0,2.0,6.0
2017.0,BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,375.0,2.0,5.0
2017.0,BENTLEY,FLYING SPUR,MID-SIZE,4.0,8.0,AS8,Z,17.0,9.9,13.8,20.0,321.0,3.0,6.0
2017.0,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12.0,AS8,Z,19.6,11.7,16.0,18.0,375.0,2.0,5.0
2017.0,BENTLEY,MULSANNE,MID-SIZE,6.8,8.0,AS8,Z,21.3,12.8,17.5,16.0,407.0,1.0,5.0
2017.0,BENTLEY,MULSANNE EWB,MID-SIZE,6.8,8.0,AS8,Z,22.2,13.6,18.3,15.0,430.0,1.0,5.0
2017.0,BMW,230i CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.0,7.2,8.7,32.0,207.0,6.0,8.0
2017.0,BMW,230i COUPE,SUBCOMPACT,2.0,4.0,AS8,Z,9.8,6.8,8.4,34.0,197.0,6.0,8.0
2017.0,BMW,230i COUPE,SUBCOMPACT,2.0,4.0,M6,Z,11.1,7.3,9.4,30.0,219.0,5.0,8.0
2017.0,BMW,230i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213.0,6.0,8.0
2017.0,BMW,230i xDRIVE COUPE,SUBCOMPACT,2.0,4.0,AS8,Z,10.2,7.4,9.0,31.0,210.0,6.0,8.0
2017.0,BMW,320i,COMPACT,2.0,4.0,AS8,Z,10.0,6.5,8.4,34.0,200.0,6.0,6.0
2017.0,BMW,320i,COMPACT,2.0,4.0,M6,Z,10.2,6.7,8.6,33.0,202.0,6.0,6.0
2017.0,BMW,320i xDRIVE,COMPACT,2.0,4.0,AS8,Z,10.3,6.9,8.8,32.0,206.0,6.0,6.0
2017.0,BMW,328d xDRIVE,COMPACT,2.0,4.0,AS8,D,7.9,5.9,7.0,40.0,189.0,7.0,6.0
2017.0,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,D,7.9,5.9,7.0,40.0,189.0,7.0,6.0
2017.0,BMW,330i xDRIVE,COMPACT,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213.0,6.0,8.0
2017.0,BMW,330i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213.0,6.0,8.0
2017.0,BMW,330i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4.0,AS8,Z,10.5,7.4,9.1,31.0,213.0,6.0,8.0
2017.0,BMW,340i,COMPACT,3.0,6.0,AS8,Z,11.1,7.8,9.6,29.0,224.0,5.0,6.0
2017.0,BMW,340i,COMPACT,3.0,6.0,M6,Z,12.2,8.2,10.4,27.0,242.0,5.0,6.0
2017.0,BMW,340i xDRIVE,COMPACT,3.0,6.0,AS8,Z,11.4,7.8,9.8,29.0,228.0,5.0,6.0
2017.0,BMW,340i xDRIVE,COMPACT,3.0,6.0,M6,Z,12.2,8.5,10.5,27.0,246.0,5.0,6.0
